team_id,team_full_name,team_display_name,team_short_name,team_location,team_abbr,team_logo,team_primary_color,team_secondary_color,team_conference_type,team_division_type,team_url_slug,team_standings.win,team_standings.loss,team_standings.ties,team_standings.overtime_losses,team_standings.draw,game_id,team_standings
1035,St. Francis (BKN) Terriers,St. Francis (BKN),Terriers,St. Francis (BKN),SFNY,https://static.sprtactn.co/teamlogos/ncaab/100/sfny.png,0000ff,ff0000,NORTHEAST,D1,st-francis-bkn-terriers,14.0,16.0,,,,190732,
1588,Florida Tech Panthers,Panthers,Panthers,Panthers,FT,https://static.sprtactn.co/leagues/100/fallback_ncaab.png,CCCCCC,000000,,D2,florida-tech-panthers,0.0,1.0,,,,178866,
1235,Club Brugge KV,Brugge,Brugge,Brugge,BRU,https://static.sprtactn.co/teamlogos/soccer/100/1235.png,004BFF,EABC50,,,,3.0,1.0,,,2.0,182259,
2078,FC Midtjylland,Midtjylland,Ulvene,Herning,FCM,https://assets.actionnetwork.com/846720_FC_Midtjylland_logo.png,000000,FF0000,,,,2.0,1.0,,,3.0,182554,
3264,Embry-Riddle (AZ) Eagles,Embry-Riddle (AZ) Eagles,,,EMBRY,,FFFFFF,000000,,,,0.0,0.0,,,,116514,
1868,Centenary College of Louisiana Gentlemen,Gentlemen,Gentlemen,Gentlemen,CCLA,https://static.sprtactn.co/leagues/100/fallback_ncaab.png,CCCCCC,000000,,D3,centenary-college-of-louisiana-gentlemen,0.0,1.0,,,,181160,
1714,Rochester College Warriors,Warriors,Warriors,Warriors,ROCH,https://static.sprtactn.co/leagues/100/fallback_ncaab.png,CCCCCC,000000,,USCAA,rochester-college-warriors,0.0,1.0,,,,181952,
2667,Clinton College Golden Bears,Clinton College Golden Bears,Golden Bears,,CLINT,,FFFFFF,000000,,,,0.0,1.0,,,,181805,
3266,Allen Fighting Yellow Jackets,Allen Fighting Yellow Jackets,,,ALLEN,,FFFFFF,000000,,,,0.0,2.0,,,,177736,
2504,Carver College,Carver College,Cougars,,Carve,,FFFFFF,000000,,,,0.0,0.0,,,,180932,
2650,Franklin College,Franklin College,,,FRNK,,FFFFFF,000000,,,,0.0,1.0,,,,177620,
2661,St. John Fisher Cardinals,St. John Fisher Cardinals,Cardinals,,STJNF,,FFFFFF,000000,,,,0.0,1.0,,,,176937,
2660,Philander Smith Panthers,Philander Smith Panthers,Panthers,,PHILS,,FFFFFF,000000,,,,0.0,1.0,,,,179801,
2513,Mary Hardin-Baylor,Mary Hardin-Baylor,Crusaders,,UMHB,,FFFFFF,000000,,,,1.0,0.0,,,,176461,
2675,Knox Prarie Fire,Knox Prarie Fire,Fire,,KNOXP,,FFFFFF,000000,,,,0.0,1.0,,,,181730,
1424,Cal State L.A. Golden Eagles,Golden Eagles,Golden Eagles,Golden Eagles,CSLA,https://static.sprtactn.co/leagues/100/fallback_ncaab.png,CCCCCC,000000,,D2,cal-state-la.-golden-eagles,0.0,1.0,,,,176322,
1760,Centenary Cyclones,Cyclones,Cyclones,Cyclones,CENT,https://static.sprtactn.co/leagues/100/fallback_ncaab.png,CCCCCC,000000,,D3,centenary-cyclones,0.0,1.0,,,,175743,
1116,Watford FC,Watford,Hornets,Watford,WAT,https://static.sprtactn.co/teamlogos/soccer/100/1116.png,FFFF00,000000,,,,6.0,26.0,,,5.0,109730,
1372,Levante UD,Levante,Granotas,Levante,LVT,https://static.sprtactn.co/teamlogos/soccer/100/1372.png,FF0000,000000,,,,8.0,19.0,,,11.0,109739,
1139,FC Girondins de Bordeaux,Bordeaux,Girondins,Bordeaux,BOR,https://static.sprtactn.co/teamlogos/soccer/100/1139.png,1C1642,000000,,,,6.0,19.0,,,13.0,109996,
2077,DSC Arminia Bielefeld,Arminia Bielefeld,Arminia,Bielefeld,DSC,https://assets.actionnetwork.com/262885_Arminia_Bielefeld_logo.png,0000FF,FFFFFF,,,,5.0,16.0,,,12.0,109957,
2273,Greuther Furth,Greuther Furth,Cloverleaves,Greuther,GREUTHER,https://static.sprtactn.co/teamlogos/soccer/100/2273.png,FFFFFF,000000,,,,3.0,21.0,,,9.0,109961,
2339,Venezia FC,Venezia FC,I Leoni alati,,VENEZIA,https://static.sprtactn.co/teamlogos/soccer/100/2339.png,FFFFFF,000000,,,,6.0,23.0,,,8.0,109994,
1155,AS Saint-Étienne,St. Etienne,Verts,St. Etienne,STE,https://static.sprtactn.co/teamlogos/soccer/100/1155.png,009F00,009F00,,,,7.0,20.0,,,11.0,109995,
1997,Norwich City,Canaries,Canaries,Norwich,NOR,https://assets.actionnetwork.com/640943_1200px-Norwich_City_200x200.png,FFEE00,88FF33,,,,5.0,25.0,,,7.0,106987,
2027,FC Zenit Saint Petersburg,Zenit,Zenit,St Petersburg,ZEN,https://static.sprtactn.co/teamlogos/soccer/100/2027.png,177FF9,FFFFFF,,,,,,,,,120708,
1377,FC Spartak Moscow,Spartak,Spartak,Spartak,SPM,https://static.sprtactn.co/teamlogos/soccer/100/1377.png,FF0000,000000,,,,3.0,2.0,,,1.0,121074,
1320,FC Viktoria Plzeň,Viktoria,Viktoria,Viktoria,PIL,https://static.sprtactn.co/teamlogos/soccer/100/1320.png,12113D,000000,,,,0.0,6.0,,,0.0,174100,
1360,Malmö FF,Malmö,Malmö,Malmö,MALM,https://static.sprtactn.co/teamlogos/soccer/100/1360.png,6A9AFC,000000,,,,,,,,,173750,
1227,FC Dynamo Kyiv,Dynamo,Dynamo,Dynamo,DKY,https://static.sprtactn.co/teamlogos/soccer/100/1227.png,0000FF,0000FF,,,,,,,,,173753,
1295,Fenerbahce S.K.,Fenerbahce,Fenerbahce,Fenerbahce,FEN,https://static.sprtactn.co/teamlogos/soccer/100/1295.png,FFED00,163962,,,,1.0,2.0,,,3.0,190677,
3596,AEK Larnaca,AEK Larnaca,,Cyprus,LARN,https://assets.actionnetwork.com/412392_image22.png,FFFFFF,000000,,,,,,,,,173754,
3597,FC Zurich,FC Zurich,,Zurich,ZUR,https://assets.actionnetwork.com/607991_image19.png,FFFFFF,000000,,,,,,,,,173755,
3627,Bodo Glimt,Bodo Glimt,,Eliteserien,BODO,https://assets.actionnetwork.com/760146_image18.png,FFFFFF,000000,,,,,,,,,174212,
3594,Trabzonspor,Trabzonspor,,Trabzon,TRAB,https://assets.actionnetwork.com/78404_image23.png,FFFFFF,000000,,,,,,,,,173744,
1296,Ferencvárosi TC,Ferencváros,Ferencváros,Ferencváros,FERE,https://static.sprtactn.co/teamlogos/soccer/100/1296.png,008241,008241,,,,1.0,5.0,,,0.0,190676,
2110,Omonia Nicosia,Omonia,Omonia,Omonia,OMN,https://assets.actionnetwork.com/35232_800px-AC_Omonia_logo.svg.png,0000FF,0000FF,,,,,,,,,173748,
3462,Ecuador,Ecuador,,Ecuador,ECU,https://static.sprtactn.co/teamlogos/worldcup/100/ecu.png,FFFFFF,000000,,GROUP_A,,1.0,1.0,,,1.0,173352,
